Date,Precipitation,Tmean,PET,SPEI-1,SPEI-1_lead30,SPEI-1_lead60,SPEI-1_lead90,SPEI-6,SPEI-6_lead30,SPEI-6_lead60,SPEI-6_lead90,SPEI-9,SPEI-9_lead30,SPEI-9_lead60,SPEI-9_lead90,SPEI-12,SPEI-12_lead30,SPEI-12_lead60,SPEI-12_lead90
2000-06,320.3,29.26583333333333,126.0807241542463,1.046676526091706,1.010121157949577,1.052378023117524,1.044477237313778,,,,,,,,,,,,
2000-07,249.7,29.46290322580645,128.3394562466588,1.010121157949577,1.052378023117524,1.044477237313778,0.8449796413360117,,,,,,,,,,,,
2000-08,320.0,27.29848484848485,120.3788997739361,1.052378023117524,1.044477237313778,0.8449796413360117,0.8980002654593693,,,,1.048919400801584,,,,,,,,
2000-09,300.6,27.75656565656566,123.8666277205806,1.044477237313778,0.8449796413360117,0.8980002654593693,0.9122220031416449,,,1.048919400801584,1.015200535835526,,,,,,,,
2000-10,0.0,24.45634920634921,102.5719017862129,0.8449796413360117,0.8980002654593693,0.9122220031416449,0.9508440461090427,,1.048919400801584,1.015200535835526,0.9976873030101957,,,,,,,,
2000-11,0.0,19.13095238095238,67.25728332905102,0.8980002654593693,0.9122220031416449,0.9508440461090427,0.9396586224614739,1.048919400801584,1.015200535835526,0.9976873030101957,0.951807987043953,,,,1.004365112966435,,,,
2000-12,0.0,16.63143881208397,50.53502154317222,0.9122220031416449,0.9508440461090427,0.9396586224614739,0.8992496445158835,1.015200535835526,0.9976873030101957,0.951807987043953,0.873084638376052,,,1.004365112966435,0.9742168175216698,,,,
2001-01,3.2,13.71129032258064,33.43150986537612,0.9508440461090427,0.9396586224614739,0.8992496445158835,0.7863129882364012,0.9976873030101957,0.951807987043953,0.873084638376052,0.8554742601056912,,1.004365112966435,0.9742168175216698,0.9345007238134505,,,,
2001-02,6.0,17.6375,50.80292758175202,0.9396586224614739,0.8992496445158835,0.7863129882364012,0.9085522302375083,0.951807987043953,0.873084638376052,0.8554742601056912,0.8608940887063693,1.004365112966435,0.9742168175216698,0.9345007238134505,0.87879893692235,,,,0.9692062061925351
2001-03,4.5,22.10322580645161,77.25705067041501,0.8992496445158835,0.7863129882364012,0.9085522302375083,1.053313525525355,0.873084638376052,0.8554742601056912,0.8608940887063693,0.9469388939438865,0.9742168175216698,0.9345007238134505,0.87879893692235,0.8847930079911318,,,0.9692062061925351,0.9721883265830296
