Date,Precipitation,Tmean,PET,SPEI-1,SPEI-1_lead30,SPEI-1_lead60,SPEI-1_lead90,SPEI-6,SPEI-6_lead30,SPEI-6_lead60,SPEI-6_lead90,SPEI-9,SPEI-9_lead30,SPEI-9_lead60,SPEI-9_lead90,SPEI-12,SPEI-12_lead30,SPEI-12_lead60,SPEI-12_lead90
2000-06,439.8,28.61333333333333,123.1515947413554,1.017578023289385,0.8546796043038113,0.9448354708645365,0.7971459149268523,,,,,,,,,,,,
2000-07,176.2,29.22258064516129,126.1250627025863,0.8546796043038113,0.9448354708645365,0.7971459149268523,0.5972483191658517,,,,,,,,,,,,
2000-08,293.0,28.95806451612903,127.9680115056552,0.9448354708645365,0.7971459149268523,0.5972483191658517,0.7219864778600287,,,,1.010812940502879,,,,,,,,
2000-09,108.0,27.845,123.4357104294132,0.7971459149268523,0.5972483191658517,0.7219864778600287,0.7749666678644942,,,1.010812940502879,0.8980886792903292,,,,,,,,
2000-10,0.0,25.10322580645161,105.8062294275055,0.5972483191658517,0.7219864778600287,0.7749666678644942,0.8481572916712634,,1.010812940502879,0.8980886792903292,0.8948790641827201,,,,,,,,
2000-11,2.4,20.70166666666666,75.45765911663226,0.7219864778600287,0.7749666678644942,0.8481572916712634,0.8305749132900416,1.010812940502879,0.8980886792903292,0.8948790641827201,0.798873077937753,,,,0.9767750612873584,,,,
2000-12,0.0,15.79838709677419,45.04307163654931,0.7749666678644942,0.8481572916712634,0.8305749132900416,0.8102982144347629,0.8980886792903292,0.8948790641827201,0.798873077937753,0.8078412243779577,,,0.9767750612873584,0.8898625122024463,,,,
2001-01,34.2,16.05,43.32222261129581,0.8481572916712634,0.8305749132900416,0.8102982144347629,0.6911807033127892,0.8948790641827201,0.798873077937753,0.8078412243779577,0.831623348207063,,0.9767750612873584,0.8898625122024463,0.8423960910897341,,,,
2001-02,20.1,16.96785714285714,45.56888118581751,0.8305749132900416,0.8102982144347629,0.6911807033127892,0.7065383706693998,0.798873077937753,0.8078412243779577,0.831623348207063,0.8262335799950472,0.9767750612873584,0.8898625122024463,0.8423960910897341,0.6218737450035668,,,,0.9863722575087674
2001-03,30.4,20.01451612903226,61.03780964326904,0.8102982144347629,0.6911807033127892,0.7065383706693998,0.9064767259430255,0.8078412243779577,0.831623348207063,0.8262335799950472,0.9023124779254929,0.8898625122024463,0.8423960910897341,0.6218737450035668,0.7695293930558053,,,0.9863722575087674,0.9223565893969817
2001-04,19.4,25.19,101.2326321907606,0.6911807033127892,0.7065383706693998,0.9064767259430255,0.9585428331261419,0.831623348207063,0.8262335799950472,0.9023124779254929,0.961307301614615,0.8423960910897341,0.6218737450035668,0.7695293930558053,0.9120113552238758,,0.9863722575087674,0.9223565893969817,0.9682793894893701
2001-05,90.2,28.81129032258064,147.5778709083209,0.7065383706693998,0.9064767259430255,0.9585428331261419,0.8215623017740973,0.8262335799950472,0.9023124779254929,0.961307301614615,0.9587833213485076,0.6218737450035668,0.7695293930558053,0.9120113552238758,0.9312482122300787,0.9863722575087674,0.9223565893969817,0.9682793894893701,0.9201005400710023
2001-06,251.6,29.11833333333333,152.5634579744213,0.9064767259430255,0.9585428331261419,0.8215623017740973,0.3150383644767029,0.9023124779254929,0.961307301614615,0.9587833213485076,0.9078057078495725,0.7695293930558053,0.9120113552238758,0.9312482122300787,0.8973820869395723,0.9223565893969817,0.9682793894893701,0.9201005400710023,0.8651606139176615
2001-07,353.2,29.75,162.945878799787,0.9585428331261419,0.8215623017740973,0.3150383644767029,0.5627458944441053,0.961307301614615,0.9587833213485076,0.9078057078495725,0.8898896354654124,0.9120113552238758,0.9312482122300787,0.8973820869395723,0.8371927190585897,0.9682793894893701,0.9201005400710023,0.8651606139176615,0.8610266534822797
2001-08,175.4,29.57580645161291,160.5462011998982,0.8215623017740973,0.3150383644767029,0.5627458944441053,0.7631465271558463,0.9587833213485076,0.9078057078495725,0.8898896354654124,0.9042146329889424,0.9312482122300787,0.8973820869395723,0.8371927190585897,0.8078614756138506,0.9201005400710023,0.8651606139176615,0.8610266534822797,0.8728787251622283
2001-09,22.0,29.21,155.3218800676341,0.3150383644767029,0.5627458944441053,0.7631465271558463,0.810157060526027,0.9078057078495725,0.8898896354654124,0.9042146329889424,0.8473471368761836,0.8973820869395723,0.8371927190585897,0.8078614756138506,0.8077886329606493,0.8651606139176615,0.8610266534822797,0.8728787251622283,0.8852871560380257
2001-10,0.2,26.08870967741936,110.5342117152523,0.5627458944441053,0.7631465271558463,0.810157060526027,0.9016948176054125,0.8898896354654124,0.9042146329889424,0.8473471368761836,0.7696573372596113,0.8371927190585897,0.8078614756138506,0.8077886329606493,0.888172692623238,0.8610266534822797,0.8728787251622283,0.8852871560380257,0.9119613103959661
