Model,R2,MAE,RMSE
Random Forest,0.006999568373810217,0.11476820213539014,0.4065248440703757
LSTM,0.07663169654141777,0.13328889377554667,0.3920124449377023
Transformer,0.0038997050430181757,0.1563879203927048,0.40715887678347673
