Station,SPEI,Lead Time,Model,MAE,MSE,RMSE,RRMSE (%),R2
Okhaldhunga,SPEI-1,Lead 90,Random Forest,0.2418900900695482,0.7546900717235324,0.8687289978603986,114.82870491459305,0.048813966043495305
Okhaldhunga,SPEI-1,Lead 90,LSTM,0.2732992485417849,0.8101294044123465,0.900071888469108,118.97161201881316,-0.02105990796287438
Okhaldhunga,SPEI-1,Lead 90,Transformer,0.29722620763501956,0.8138085289484326,0.9021133681242245,119.24145504866928,-0.025696953032143366
Kathmandu_Airport,SPEI-1,Lead 90,Random Forest,0.06981048718658313,0.008239078071807515,0.09076936747497756,9.78685549150771,0.6205848020532545
Kathmandu_Airport,SPEI-1,Lead 90,LSTM,0.07393530218428682,0.007712770297681188,0.08782237925313335,9.469107900390966,0.6448216361456935
Kathmandu_Airport,SPEI-1,Lead 90,Transformer,0.07968442542209285,0.009640408839038961,0.098185583661956,10.586480278314191,0.5560525587847621
Nepalgunj_Airport,SPEI-6,Lead 30,Random Forest,0.0629095809515934,0.019251351003115074,0.13874923784697007,15.093281169940841,-0.9772219216322315
Nepalgunj_Airport,SPEI-6,Lead 30,LSTM,0.08995856896972633,0.013241483475170743,0.11507164496595476,12.51760888282739,-0.35997475698210035
Nepalgunj_Airport,SPEI-6,Lead 30,Transformer,0.08451022436654604,0.010628868080990304,0.10309640188188095,11.214929936614624,-0.091644475677088
Parwanipur,SPEI-6,Lead 30,Random Forest,0.024598418785684834,0.0008406141265251396,0.0289933462457361,3.1043762313828887,0.843343788058211
Parwanipur,SPEI-6,Lead 30,LSTM,0.06623343380865346,0.007237971539811074,0.08507626895798306,9.10928821286855,-0.34886289415143557
Parwanipur,SPEI-6,Lead 30,Transformer,0.041768170988335684,0.002828355999681654,0.05318229028240185,5.6943353997117026,0.4729097180837003
Jumla,SPEI-6,Lead 30,Random Forest,0.08581644356061854,0.012422596744109622,0.11145670345075537,11.699631575388333,0.12513667035020126
Jumla,SPEI-6,Lead 30,LSTM,0.08288757610638384,0.00992766035151009,0.09963764525273612,10.458982765548075,0.30084295822669216
Jumla,SPEI-6,Lead 30,Transformer,0.1110946474434723,0.015971249527482155,0.12637740908675946,13.265860912712995,-0.1247777600851594
Dhankuta,SPEI-6,Lead 30,Random Forest,0.05852514861397699,0.006286837391570855,0.07928957933783515,8.368587385340128,0.6949903899628962
Dhankuta,SPEI-6,Lead 30,LSTM,0.09094218930868861,0.010487447193747557,0.10240823791935665,10.808637089059344,0.4911953372392852
Dhankuta,SPEI-6,Lead 30,Transformer,0.10436601215549934,0.018055849426883985,0.13437205597475982,14.182245661580966,0.12400985589886648
Taplejung,SPEI-6,Lead 30,Random Forest,0.029785420567980597,0.0016113808268414694,0.04014200825620798,4.325801047742149,0.9022176621757028
Taplejung,SPEI-6,Lead 30,LSTM,0.06545130114354988,0.006057697462947972,0.07783121136759964,8.387281810419516,0.6324048233089457
Taplejung,SPEI-6,Lead 30,Transformer,0.07539763052624013,0.009027626064579682,0.09501382038724515,10.23892180874051,0.45218264553360743
